"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]"
0,10680,0.32968223
0,10695,0.3295298
0,10710,0.3293774
0,10725,0.32922512
0,10740,0.3290729
0,10755,0.32892075
0,10770,0.32876867
0,10785,0.32861665
0,10800,0.32846472
0,10815,0.32831287
0,10830,0.3281611
0,10845,0.32800937
0,10860,0.32785773
0,10875,0.32770616
0,10890,0.32755467
0,10905,0.32740325
0,10920,0.3272519
0,10935,0.32710063
0,10950,0.32694945
0,10965,0.32679832
0,10980,0.32664725
0,10995,0.32649627
0,11010,0.32634535
0,11025,0.32619452
0,11040,0.32604375
0,11055,0.32589307
0,11070,0.32574245
0,11085,0.3255919
0,11100,0.32544142
0,11115,0.32529104
0,11130,0.32514068
0,11145,0.32499045
0,11160,0.32484025
0,11175,0.32469013
0,11190,0.3245401
0,11205,0.32439014
0,11220,0.32424024
0,11235,0.32409042
0,11250,0.32394066
0,11265,0.32379097
0,11280,0.32364136
0,11295,0.3234918
0,11310,0.32334235
0,11325,0.32319295
0,11340,0.32304364
0,11355,0.3228944
0,11370,0.3227452
0,11385,0.3225961
0,11400,0.32244706
0,11415,0.3222981
0,11430,0.32214922
0,11445,0.32200038
0,11460,0.32185164
0,11475,0.32170296
0,11490,0.32155433
0,11505,0.3214058
0,11520,0.32125735
0,11535,0.32110894
0,11550,0.3209606
0,11565,0.32081237
0,11580,0.32066417
0,11595,0.32051608
0,11610,0.32036802
0,11625,0.32022005
0,11640,0.32007214
0,11655,0.31992432
0,11670,0.31977656
0,11685,0.3196289
0,11700,0.31948125
0,11715,0.31933373
0,11730,0.31918624
0,11745,0.31903884
0,11760,0.3188915
0,11775,0.31874424
0,11790,0.31859705
0,11805,0.3184499
0,11820,0.31830287
0,11835,0.31815588
0,11850,0.31800896
0,11865,0.31786212
0,11880,0.31771535
0,11895,0.31756866
0,11910,0.317422
0,11925,0.31727546
0,11940,0.31712896
0,11955,0.31698254
0,11970,0.31683618
0,11985,0.3166899
0,12000,0.31654367
0,12015,0.31639755
0,12030,0.31625146
0,12045,0.31610546
0,12060,0.3159595
0,12075,0.31581366
0,12090,0.31566787
0,12105,0.31552213
0,12120,0.31537646
0,12135,0.31523088
0,12150,0.31508535
0,12165,0.31493992
0,12180,0.31479454
0,12195,0.31464922
0,12210,0.31450397
0,12225,0.3143588
0,12240,0.3142137
0,12255,0.31406868
0,12270,0.3139237
0,12285,0.3137788
0,12300,0.31363398
0,12315,0.3134892
0,12330,0.3133445
0,12345,0.3131999
0,12360,0.31305534
0,12375,0.31291085
0,12390,0.31276643
0,12405,0.3126221
